"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA.","FPTS"
"10","10","1","2018-11-04","19-290","POR","","MIN","W (+30)","0","7:00","1","4",".250","0","1",".000","0","0","","0","2","2","0","0","0","1","0","2","-0.8","-2",NA,3.4
"15","15","2","2018-11-16","19-302","POR","@","MIN","L (-16)","0","5:44","3","5",".600","2","2","1.000","0","0","","0","1","1","0","0","0","0","0","8","6.0","+8",NA,9.2
"26","25","3","2018-12-06","19-322","POR","","PHO","W (+22)","0","6:53","0","4",".000","0","2",".000","0","2",".000","0","1","1","0","0","0","0","1","0","-3.7","-9",NA,1.2
"44","42","4","2019-01-09","19-356","POR","","CHI","W (+12)","0","3:01","0","0","","0","0","","1","2",".500","0","0","0","0","0","0","0","0","1","0.6","-4",NA,1
"45","43","5","2019-01-11","19-358","POR","","CHO","W (+31)","0","6:55","1","4",".250","1","3",".333","0","0","","0","0","0","1","0","1","0","0","3","2.0","0",NA,7.25
"48","46","6","2019-01-16","19-363","POR","","CLE","W (+17)","0","2:13","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-4",NA,0
"49","47","7","2019-01-18","20-000","POR","","NOP","W (+16)","0","1:18","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA,0
"56","54","8","2019-02-07","20-020","POR","","SAS","W (+9)","0","1:23","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-6",NA,0
"61","59","9","2019-02-23","20-036","POR","@","PHI","W (+15)","0","3:48","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","-0.7","-5",NA,0
"70","67","10","2019-03-12","20-053","POR","@","LAC","W (+21)","0","2:31","1","2",".500","0","0","","0","0","","0","1","1","0","0","0","0","0","2","1.3","+2",NA,3.2
"74","71","11","2019-03-20","20-061","POR","","DAL","W (+8)","0","6:44","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","1","0","-1.8","-1",NA,0.2
"77","74","12","2019-03-27","20-068","POR","@","CHI","W (+20)","0","3:56","2","4",".500","1","3",".333","0","0","","0","1","1","0","0","0","0","1","5","2.9","-1",NA,6.2
"78","75","13","2019-03-29","20-070","POR","@","ATL","W (+20)","0","3:41","0","2",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","0","0","-1.1","+6",NA,1.2
"81","78","14","2019-04-03","20-075","POR","","MEM","W (+27)","0","7:26","0","3",".000","0","2",".000","0","0","","1","0","1","1","0","0","1","0","0","-1.7","+3",NA,1.45
"86","82","15","2019-04-10","20-082","POR","","SAC","W (+5)","1","48:00","8","19",".421","1","5",".200","2","3",".667","0","2","2","3","1","1","1","1","19","11.5","+5",NA,30.15
