"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","23-287","BRK","@","DET","L (-3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2","2","","2018-10-19","23-289","BRK","","NYK","W (+2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"3","3","","2018-10-20","23-290","BRK","@","IND","L (-20)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4","4","1","2018-10-24","23-294","BRK","@","CLE","W (+16)","0","21:05","3","10",".300","0","2",".000","2","4",".500","0","8","8","0","1","0","1","0","8","3.8","-1",NA
"5","5","2","2018-10-26","23-296","BRK","@","NOP","L (-2)","0","16:25","2","7",".286","0","0","","0","0","","0","6","6","2","0","1","0","2","4","3.0","+5",NA
"6","6","3","2018-10-28","23-298","BRK","","GSW","L (-6)","0","17:11","3","9",".333","0","1",".000","1","2",".500","0","2","2","0","1","0","0","1","7","2.7","-19",NA
"7","7","4","2018-10-29","23-299","BRK","@","NYK","L (-19)","0","27:00","8","15",".533","0","1",".000","0","0","","3","4","7","0","1","2","1","2","16","12.6","-11",NA
"8","8","5","2018-10-31","23-301","BRK","","DET","W (+1)","0","24:52","4","9",".444","0","0","","0","0","","1","6","7","3","0","1","1","2","8","6.8","+2",NA
"9","9","6","2018-11-02","23-303","BRK","","HOU","L (-8)","0","19:06","2","5",".400","0","1",".000","1","3",".333","1","4","5","3","1","0","1","3","5","4.3","-2",NA
"10","10","7","2018-11-04","23-305","BRK","","PHI","W (+25)","0","29:45","9","14",".643","0","0","","3","5",".600","1","5","6","3","0","0","0","2","21","17.5","+27",NA
"11","11","8","2018-11-06","23-307","BRK","@","PHO","W (+22)","0","12:33","1","6",".167","0","1",".000","3","4",".750","0","2","2","1","1","0","2","0","5","1.1","-1",NA
"12","12","9","2018-11-09","23-310","BRK","@","DEN","W (+2)","0","17:49","2","9",".222","1","4",".250","3","4",".750","2","1","3","2","1","1","0","2","8","6.1","-2",NA
"13","13","10","2018-11-10","23-311","BRK","@","GSW","L (-16)","0","17:04","1","5",".200","0","1",".000","0","0","","0","3","3","1","0","1","1","0","2","0.2","-14",NA
"14","14","11","2018-11-12","23-313","BRK","@","MIN","L (-7)","1","26:42","5","10",".500","0","0","","4","6",".667","4","2","6","5","3","1","1","4","14","16.2","-8",NA
"15","15","12","2018-11-14","23-315","BRK","","MIA","L (-13)","0","23:13","6","13",".462","0","1",".000","2","5",".400","5","4","9","0","1","1","2","2","14","9.7","-10",NA
