"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","24-152","HOU","","NOP","L (-19)","1","26:11","4","9",".444","0","0","","0","0","","3","5","8","1","0","1","1","3","8","6.1","-14",NA
"2","2","2","2018-10-20","24-155","HOU","@","LAL","W (+9)","1","33:39","9","16",".563","0","0","","1","3",".333","2","10","12","0","0","1","2","3","19","12.5","+4",NA
"3","3","3","2018-10-21","24-156","HOU","@","LAC","L (-3)","1","33:38","11","14",".786","0","0","","1","2",".500","0","6","6","5","0","3","1","3","23","22.4","+10",NA
"4","4","4","2018-10-24","24-159","HOU","","UTA","L (-11)","1","37:42","5","9",".556","0","0","","0","2",".000","6","6","12","2","1","2","5","2","10","8.9","-16",NA
"5","5","5","2018-10-26","24-161","HOU","","LAC","L (-20)","1","33:58","6","10",".600","0","0","","2","2","1.000","8","7","15","1","2","1","1","2","14","18.7","-12",NA
"6","6","6","2018-10-30","24-165","HOU","","POR","L (-19)","1","30:24","6","11",".545","0","0","","2","7",".286","7","7","14","1","0","3","4","2","14","11.7","-15",NA
"7","7","7","2018-11-02","24-168","HOU","@","BRK","W (+8)","1","37:23","8","11",".727","0","0","","6","10",".600","4","9","13","5","0","2","0","1","22","25.9","+15",NA
"8","8","8","2018-11-03","24-169","HOU","@","CHI","W (+8)","1","35:13","4","11",".364","0","0","","4","6",".667","6","6","12","1","1","2","4","5","12","8.2","+1",NA
"9","9","9","2018-11-05","24-171","HOU","@","IND","W (+4)","1","35:01","8","10",".800","0","0","","2","2","1.000","2","8","10","1","0","1","2","2","18","16.6","+6",NA
"10","10","10","2018-11-08","24-174","HOU","@","OKC","L (-18)","1","33:46","8","12",".667","0","0","","1","2",".500","3","4","7","3","1","1","1","4","17","15.9","-12",NA
"11","11","11","2018-11-10","24-176","HOU","@","SAS","L (-7)","1","32:56","4","9",".444","0","0","","4","6",".667","8","9","17","1","0","2","2","5","12","12.9","-19",NA
"12","12","12","2018-11-11","24-177","HOU","","IND","W (+12)","1","28:46","8","9",".889","0","0","","2","5",".400","3","4","7","1","0","1","1","1","18","17.0","-2",NA
"13","13","13","2018-11-13","24-179","HOU","@","DEN","W (+10)","1","36:21","11","15",".733","0","0","","2","4",".500","3","6","9","2","0","1","1","4","24","20.5","+12",NA
"14","14","14","2018-11-15","24-181","HOU","","GSW","W (+21)","1","29:38","3","9",".333","0","0","","4","4","1.000","4","6","10","1","1","0","0","1","10","10.8","-1",NA
"15","15","15","2018-11-17","24-183","HOU","","SAC","W (+20)","1","35:07","11","14",".786","0","0","","1","3",".333","5","11","16","1","1","4","1","1","23","26.7","+24",NA
"16","16","16","2018-11-21","24-187","HOU","","DET","W (+2)","1","36:52","12","14",".857","0","0","","3","4",".750","4","11","15","0","0","4","1","5","27","27.5","+4",NA
"17","17","17","2018-11-23","24-189","HOU","@","DET","L (-5)","1","43:29","14","21",".667","0","0","","1","1","1.000","12","9","21","1","2","3","3","2","29","32.0","-11",NA
"18","18","18","2018-11-24","24-190","HOU","@","CLE","L (-9)","1","39:57","4","4","1.000","0","0","","4","4","1.000","5","5","10","3","0","4","2","1","12","18.3","-8",NA
"19","19","19","2018-11-26","24-192","HOU","@","WAS","L (-4)","1","37:57","8","14",".571","0","0","","1","2",".500","8","6","14","2","0","4","1","5","17","18.6","-4",NA
"20","20","20","2018-11-28","24-194","HOU","","DAL","L (-20)","1","32:31","9","12",".750","0","0","","0","2",".000","5","3","8","2","0","2","1","2","18","17.8","-6",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","21","2018-11-30","24-196","HOU","@","SAS","W (+31)","1","29:32","12","16",".750","0","0","","3","4",".750","8","4","12","1","1","4","0","4","27","29.9","+31",NA
"23","22","22","2018-12-01","24-197","HOU","","CHI","W (+16)","1","32:46","7","11",".636","0","0","","4","7",".571","2","13","15","0","0","1","0","2","18","17.1","+12",NA
"24","23","23","2018-12-03","24-199","HOU","@","MIN","L (-12)","1","37:55","11","14",".786","0","0","","2","2","1.000","2","6","8","3","0","3","2","2","24","23.2","+6",NA
"25","24","24","2018-12-06","24-202","HOU","@","UTA","L (-27)","1","26:17","5","14",".357","0","0","","2","2","1.000","9","1","10","0","1","2","3","2","12","9.4","-22",NA
"26","25","25","2018-12-08","24-204","HOU","@","DAL","L (-3)","1","30:32","6","8",".750","0","0","","0","0","","4","9","13","1","0","0","1","1","12","13.6","-16",NA
"27","26","26","2018-12-11","24-207","HOU","","POR","W (+7)","1","27:10","6","11",".545","0","0","","1","5",".200","3","4","7","2","2","0","3","6","13","7.4","-7",NA
"28","27","27","2018-12-13","24-209","HOU","","LAL","W (+15)","1","34:57","7","13",".538","0","0","","2","3",".667","4","10","14","1","1","2","1","5","16","15.2","+21",NA
"29","28","28","2018-12-15","24-211","HOU","@","MEM","W (+8)","1","34:42","10","14",".714","0","0","","6","7",".857","3","7","10","0","0","2","2","5","26","21.4","+6",NA
"30","29","29","2018-12-17","24-213","HOU","","UTA","W (+5)","1","34:58","2","8",".250","0","0","","1","5",".200","3","11","14","0","3","5","2","4","5","6.9","-4",NA
"31","30","30","2018-12-19","24-215","HOU","","WAS","W (+18)","1","35:09","9","13",".692","0","0","","2","4",".500","4","8","12","2","1","1","2","3","20","18.8","+16",NA
"32","31","31","2018-12-20","24-216","HOU","@","MIA","L (-2)","1","29:19","3","7",".429","0","0","","0","2",".000","5","9","14","1","1","1","0","2","6","9.3","-12",NA
"33","32","32","2018-12-22","24-218","HOU","","SAS","W (+7)","1","34:35","8","11",".727","0","0","","5","8",".625","8","15","23","2","0","1","3","2","21","23.7","-1",NA
"34","33","33","2018-12-25","24-221","HOU","","OKC","W (+4)","1","30:43","8","15",".533","0","0","","0","1",".000","10","13","23","3","1","1","2","3","16","19.8","-1",NA
"35","34","34","2018-12-27","24-223","HOU","","BOS","W (+14)","1","37:40","9","14",".643","0","0","","6","8",".750","9","10","19","0","0","1","3","2","24","23.2","-11",NA
"36","35","35","2018-12-29","24-225","HOU","@","NOP","W (+4)","1","33:00","3","6",".500","0","0","","0","0","","2","5","7","1","0","3","1","4","6","6.1","-11",NA
"37","36","36","2018-12-31","24-227","HOU","","MEM","W (+12)","1","38:09","7","9",".778","0","0","","5","8",".625","3","10","13","0","0","1","0","2","19","19.3","+21",NA
"38","37","37","2019-01-03","24-230","HOU","@","GSW","W (+1)","1","45:45","12","19",".632","0","0","","5","5","1.000","9","12","21","1","2","1","1","1","29","32.4","+2",NA
"39","38","38","2019-01-05","24-232","HOU","@","POR","L (-9)","1","34:25","5","8",".625","0","0","","3","4",".750","8","13","21","2","0","2","1","1","13","19.9","-2",NA
"40","39","39","2019-01-07","24-234","HOU","","DEN","W (+12)","1","36:43","13","18",".722","0","0","","5","7",".714","1","8","9","2","2","0","0","3","31","28.1","+26",NA
"41","40","40","2019-01-09","24-236","HOU","","MIL","L (-7)","1","35:03","4","16",".250","0","0","","10","12",".833","7","6","13","1","0","2","3","2","18","12.6","-2",NA
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","41","2019-01-11","24-238","HOU","","CLE","W (+28)","1","29:34","7","8",".875","0","0","","5","7",".714","2","2","4","2","1","2","1","0","19","20.2","+28",NA
"44","42","42","2019-01-13","24-240","HOU","@","ORL","L (-7)","1","36:17","8","12",".667","0","0","","1","2",".500","4","6","10","3","0","0","0","2","17","17.3","-12",NA
"45","43","","2019-01-14","24-241","HOU","","MEM","W (+18)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"46","44","","2019-01-16","24-243","HOU","","BRK","L (-3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"47","45","","2019-01-19","24-246","HOU","","LAL","W (+4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
