"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","27-224","NOP","@","HOU","W (+19)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","1","2018-10-19","27-226","NOP","","SAC","W (+20)","0","17:53","4","4","1.000","3","3","1.000","2","2","1.000","0","0","0","1","0","0","2","4","13","8.9","+5",NA
"3","3","2","2018-10-23","27-230","NOP","","LAC","W (+7)","0","3:46","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","1","0","-0.1","-4",NA
"4","4","3","2018-10-26","27-233","NOP","","BRK","W (+2)","0","18:11","4","5",".800","1","1","1.000","0","0","","0","2","2","0","0","0","0","3","9","6.5","-5",NA
"5","5","4","2018-10-27","27-234","NOP","","UTA","L (-21)","0","13:15","1","3",".333","0","1",".000","0","0","","0","0","0","0","0","0","0","1","2","-0.1","-11",NA
"6","6","5","2018-10-29","27-236","NOP","@","DEN","L (-5)","0","5:42","0","1",".000","0","0","","0","0","","0","1","1","1","0","0","0","1","0","-0.1","-7",NA
"7","7","6","2018-10-31","27-238","NOP","@","GSW","L (-10)","0","12:00","2","5",".400","1","3",".333","0","0","","0","0","0","2","0","0","1","2","5","1.9","+5",NA
"8","8","7","2018-11-01","27-239","NOP","@","POR","L (-13)","0","23:21","3","6",".500","2","5",".400","2","2","1.000","0","2","2","0","1","0","0","2","10","7.8","-1",NA
"9","9","8","2018-11-03","27-241","NOP","@","SAS","L (-14)","0","18:40","1","4",".250","1","3",".333","0","0","","0","4","4","3","0","1","3","2","3","0.8","-17",NA
"10","10","9","2018-11-05","27-243","NOP","@","OKC","L (-6)","0","31:36","4","12",".333","1","4",".250","1","2",".500","1","1","2","3","2","0","1","2","10","6.1","+4",NA
"11","11","10","2018-11-07","27-245","NOP","","CHI","W (+9)","0","19:02","1","6",".167","0","1",".000","0","0","","0","0","0","1","0","0","1","4","2","-3.7","-4",NA
"12","12","11","2018-11-10","27-248","NOP","","PHO","W (+20)","0","15:22","3","7",".429","1","3",".333","0","0","","0","4","4","2","0","0","2","0","7","3.9","+5",NA
"13","13","12","2018-11-12","27-250","NOP","@","TOR","W (+16)","0","20:52","3","6",".500","0","1",".000","0","0","","1","3","4","0","0","0","1","2","6","2.8","-1",NA
"14","14","13","2018-11-14","27-252","NOP","@","MIN","L (-7)","0","12:52","0","3",".000","0","2",".000","0","0","","0","2","2","0","0","0","1","0","0","-2.5","-13",NA
"15","15","14","2018-11-16","27-254","NOP","","NYK","W (+5)","0","14:48","1","8",".125","0","1",".000","2","2","1.000","1","0","1","3","0","0","0","2","4","0.8","+6",NA
"16","16","15","2018-11-17","27-255","NOP","","DEN","W (+10)","0","22:22","1","5",".200","1","3",".333","0","0","","0","3","3","5","0","0","3","1","3","0.9","+16",NA
"17","17","16","2018-11-19","27-257","NOP","","SAS","W (+14)","0","19:00","2","7",".286","0","3",".000","0","0","","0","2","2","2","1","0","0","2","4","2.1","-7",NA
"18","18","17","2018-11-21","27-259","NOP","@","PHI","L (-1)","0","10:55","0","1",".000","0","0","","0","0","","0","0","0","1","0","0","0","1","0","-0.4","+5",NA
"19","19","18","2018-11-23","27-261","NOP","@","NYK","L (-5)","0","16:44","2","5",".400","1","3",".333","2","2","1.000","1","2","3","1","1","0","0","2","7","6.5","+4",NA
"20","20","19","2018-11-24","27-262","NOP","@","WAS","L (-10)","0","9:00","1","3",".333","0","1",".000","0","0","","0","1","1","1","0","0","2","1","2","-1.1","+1",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","20","2018-11-26","27-264","NOP","","BOS","L (-17)","0","0:59","0","0","","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-1.4","-9",NA
"23","22","21","2018-11-28","27-266","NOP","","WAS","W (+21)","0","2:48","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-5",NA
"24","23","22","2018-11-30","27-268","NOP","@","MIA","L (-5)","0","13:49","1","4",".250","0","3",".000","0","0","","0","1","1","1","0","0","0","0","2","0.6","-6",NA
