"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","1","2018-10-17","28-118","MEM","@","IND","L (-28)","1","24:59","4","7",".571","1","2",".500","0","0","","2","5","7","2","2","0","1","2","9","10.2","-29",NA
"2","2","2","2018-10-19","28-120","MEM","","ATL","W (+14)","1","14:01","2","8",".250","0","0","","2","2","1.000","2","3","5","2","2","0","3","2","6","3.1","+12",NA
"3","3","","2018-10-22","28-123","MEM","@","UTA","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4","4","","2018-10-24","28-125","MEM","@","SAC","L (-5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5","5","","2018-10-27","28-128","MEM","","PHO","W (+21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"6","6","","2018-10-30","28-131","MEM","","WAS","W (+12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"7","7","","2018-11-02","28-134","MEM","@","UTA","W (+10)","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"8","8","","2018-11-04","28-136","MEM","@","PHO","L (-2)","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"9","9","","2018-11-05","28-137","MEM","@","GSW","L (-16)","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"10","10","","2018-11-07","28-139","MEM","","DEN","W (+2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"11","11","","2018-11-10","28-142","MEM","","PHI","W (+6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"12","12","","2018-11-12","28-144","MEM","","UTA","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"13","13","","2018-11-14","28-146","MEM","@","MIL","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"14","14","","2018-11-16","28-148","MEM","","SAC","W (+8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"15","15","3","2018-11-18","28-150","MEM","@","MIN","W (+13)","0","21:02","3","9",".333","0","0","","2","2","1.000","4","4","8","1","1","2","1","2","8","8.2","+8",NA
"16","16","4","2018-11-19","28-151","MEM","","DAL","W (+10)","0","15:09","5","8",".625","2","4",".500","0","0","","3","6","9","2","0","1","2","2","12","11.6","+7",NA
"17","17","5","2018-11-21","28-153","MEM","@","SAS","W (+1)","0","18:56","5","8",".625","2","3",".667","0","0","","0","3","3","0","0","1","4","6","12","3.6","-8",NA
"18","18","6","2018-11-23","28-155","MEM","@","LAC","L (-5)","0","33:28","3","9",".333","0","2",".000","0","0","","2","7","9","0","1","1","0","6","6","3.7","-2",NA
"19","19","7","2018-11-25","28-157","MEM","","NYK","L (-5)","0","19:19","2","8",".250","0","1",".000","2","2","1.000","2","5","7","0","0","2","0","2","6","4.7","-8",NA
"20","20","8","2018-11-27","28-159","MEM","","TOR","L (-8)","0","26:40","5","9",".556","0","1",".000","3","3","1.000","3","4","7","1","0","0","1","2","13","10.9","0",NA
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","9","2018-11-30","28-162","MEM","@","BRK","W (+6)","0","25:54","5","10",".500","1","2",".500","0","0","","2","2","4","0","1","0","5","1","11","3.6","-9",NA
"23","22","10","2018-12-02","28-164","MEM","@","PHI","L (-8)","0","25:21","6","10",".600","2","4",".500","0","2",".000","2","5","7","0","4","0","3","4","14","10.9","+6",NA
"24","23","11","2018-12-05","28-167","MEM","","LAC","W (+10)","0","28:47","7","12",".583","0","4",".000","5","6",".833","4","7","11","1","2","0","1","4","19","18.0","+11",NA
