"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-16","20-364","BOS","","PHI","W (+18)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"2","2","","2018-10-19","21-002","BOS","@","TOR","L (-12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"3","3","","2018-10-20","21-003","BOS","@","NYK","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"4","4","1","2018-10-22","21-005","BOS","","ORL","L (-3)","0","3:30","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA
"5","5","","2018-10-25","21-008","BOS","@","OKC","W (+6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"6","6","2","2018-10-27","21-010","BOS","@","DET","W (+20)","0","7:59","1","1","1.000","0","0","","0","0","","2","0","2","1","0","3","0","1","2","5.5","-3",NA
"7","7","3","2018-10-30","21-013","BOS","","DET","W (+3)","0","0:59","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","-7",NA
"8","8","4","2018-11-01","21-015","BOS","","MIL","W (+4)","0","0:02","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","0",NA
"9","9","","2018-11-03","21-017","BOS","@","IND","L (-1)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"10","10","5","2018-11-05","21-019","BOS","@","DEN","L (-8)","0","2:21","1","1","1.000","0","0","","1","2",".500","1","1","2","0","0","0","0","3","3","2.1","+1",NA
"11","11","","2018-11-08","21-022","BOS","@","PHO","W (+7)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","12","","2018-11-09","21-023","BOS","@","UTA","L (-8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","13","","2018-11-11","21-025","BOS","@","POR","L (-6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"14","14","","2018-11-14","21-028","BOS","","CHI","W (+29)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"15","15","","2018-11-16","21-030","BOS","","TOR","W (+7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"16","16","","2018-11-17","21-031","BOS","","UTA","L (-12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"17","17","","2018-11-19","21-033","BOS","@","CHO","L (-5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"18","18","","2018-11-21","21-035","BOS","","NYK","L (-8)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"19","19","6","2018-11-23","21-037","BOS","@","ATL","W (+18)","0","8:37","2","2","1.000","0","0","","0","0","","0","3","3","0","0","1","0","1","4","4.6","-7",NA
"20","20","","2018-11-24","21-038","BOS","@","DAL","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","7","2018-11-26","21-040","BOS","@","NOP","W (+17)","0","1:43","1","1","1.000","0","0","","0","0","","0","2","2","0","0","0","0","0","2","2.3","+3",NA
