"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X...","NA."
"1","1","","2018-10-17","21-237","LAC","","DEN","L (-9)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"2","2","","2018-10-19","21-239","LAC","","OKC","W (+16)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"3","3","","2018-10-21","21-241","LAC","","HOU","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"4","4","","2018-10-23","21-243","LAC","@","NOP","L (-7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"5","5","1","2018-10-26","21-246","LAC","@","HOU","W (+20)","0","4:47","1","3",".333","1","2",".500","0","0","","0","0","0","0","0","0","0","2","3","0.5","-8",NA
"6","6","2","2018-10-28","21-248","LAC","","WAS","W (+32)","0","7:03","2","4",".500","0","0","","0","0","","0","0","0","0","0","0","0","0","4","2.0","+5",NA
"7","7","3","2018-10-30","21-250","LAC","@","OKC","L (-18)","0","3:45","1","1","1.000","0","0","","0","0","","0","1","1","0","0","0","0","1","2","1.6","+2",NA
"8","8","4","2018-11-01","21-252","LAC","@","PHI","L (-9)","0","0:23","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0.0","+2",NA
"9","9","5","2018-11-02","21-253","LAC","@","ORL","W (+25)","0","5:31","1","4",".250","1","3",".333","0","0","","0","1","1","0","0","0","1","0","3","-0.1","+1",NA
"10","10","6","2018-11-05","21-256","LAC","","MIN","W (+11)","0","6:50","2","3",".667","2","3",".667","0","0","","0","0","0","0","0","0","0","2","6","3.9","+1",NA
"11","11","7","2018-11-08","21-259","LAC","@","POR","L (-11)","0","6:35","1","2",".500","0","0","","0","0","","0","1","1","1","0","0","0","0","2","2.0","+3",NA
"12","12","","2018-11-10","21-261","LAC","","MIL","W (+2)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","13","","2018-11-12","21-263","LAC","","GSW","W (+5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","14","","2018-11-15","21-266","LAC","","SAS","W (+5)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","15","8","2018-11-17","21-268","LAC","@","BRK","W (+8)","0","5:25","1","1","1.000","1","1","1.000","0","0","","0","0","0","0","0","0","0","1","3","2.3","+10",NA
"16","16","","2018-11-19","21-270","LAC","@","ATL","W (+8)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"17","17","","2018-11-20","21-271","LAC","@","WAS","L (-7)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"18","18","","2018-11-23","21-274","LAC","","MEM","W (+5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"19","19","","2018-11-25","21-276","LAC","@","POR","W (+4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"20","20","","2018-11-28","21-279","LAC","","PHO","W (+16)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"21","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"22","21","","2018-11-29","21-280","LAC","@","SAC","W (+12)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"23","22","","2018-12-02","21-283","LAC","@","DAL","L (-4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"24","23","","2018-12-03","21-284","LAC","@","NOP","W (+3)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"25","24","","2018-12-05","21-286","LAC","@","MEM","L (-10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"26","25","","2018-12-08","21-289","LAC","","MIA","L (-23)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"27","26","","2018-12-10","21-291","LAC","@","PHO","W (+4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"28","27","","2018-12-11","21-292","LAC","","TOR","L (-24)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"29","28","","2018-12-13","21-294","LAC","@","SAS","L (-38)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"30","29","","2018-12-15","21-296","LAC","@","OKC","L (-6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"31","30","","2018-12-17","21-298","LAC","","POR","L (-4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"32","31","","2018-12-20","21-301","LAC","","DAL","W (+4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"33","32","","2018-12-22","21-303","LAC","","DEN","W (+21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"34","33","","2018-12-23","21-304","LAC","@","GSW","L (-2)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"35","34","","2018-12-26","21-307","LAC","","SAC","W (+9)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"36","35","","2018-12-28","21-309","LAC","@","LAL","W (+11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"37","36","","2018-12-29","21-310","LAC","","SAS","L (-11)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"38","37","","2019-01-01","21-313","LAC","","PHI","L (-6)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"39","38","","2019-01-04","21-316","LAC","@","PHO","W (+10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"40","39","","2019-01-06","21-318","LAC","","ORL","W (+10)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"41","40","","2019-01-08","21-320","LAC","","CHO","W (+19)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"42","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"43","41","","2019-01-10","21-322","LAC","@","DEN","L (-21)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"44","42","","2019-01-12","21-324","LAC","","DET","L (-5)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"45","43","","2019-01-14","21-326","LAC","","NOP","L (-4)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"46","44","","2019-01-16","21-328","LAC","","UTA","L (-20)","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive","Inactive"
"47","45","9","2019-01-18","21-330","LAC","","GSW","L (-18)","0","7:26","2","4",".500","0","2",".000","0","0","","0","0","0","0","0","0","1","0","4","1.0","-4",NA
"48","46","10","2019-01-20","21-332","LAC","@","SAS","W (+8)","0","6:39","0","2",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","1","0","-1.1","-7",NA
"49","47","11","2019-01-22","21-334","LAC","@","DAL","L (-8)","0","9:33","1","2",".500","1","2",".500","0","0","","0","2","2","1","1","0","0","1","3","3.9","+6",NA
"50","48","12","2019-01-23","21-335","LAC","@","MIA","W (+12)","0","16:11","3","6",".500","2","4",".500","0","0","","0","2","2","0","0","1","0","5","8","4.3","+11",NA
"51","49","13","2019-01-25","21-337","LAC","@","CHI","W (+5)","0","17:26","3","4",".750","2","2","1.000","0","0","","0","2","2","0","1","0","0","2","8","7.2","-2",NA
"52","50","14","2019-01-27","21-339","LAC","","SAC","W (+14)","0","12:05","2","5",".400","0","3",".000","0","0","","1","2","3","0","0","0","0","3","4","1.4","-6",NA
"53","51","15","2019-01-28","21-340","LAC","","ATL","L (-5)","0","14:08","1","2",".500","1","1","1.000","0","1",".000","1","2","3","0","0","0","0","1","3","2.5","-12",NA
"54","52","16","2019-01-31","21-343","LAC","","LAL","L (-3)","0","17:29","3","8",".375","1","6",".167","0","1",".000","1","0","1","0","0","1","0","3","7","2.4","-1",NA
"55","53","17","2019-02-02","21-345","LAC","@","DET","W (+10)","0","8:58","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0.3","-4",NA
"56","54","18","2019-02-03","21-346","LAC","@","TOR","L (-18)","0","17:09","2","5",".400","1","2",".500","2","2","1.000","0","1","1","0","0","0","0","4","7","3.0","-3",NA
"57","55","19","2019-02-05","21-348","LAC","@","CHO","W (+2)","0","6:16","0","2",".000","0","1",".000","0","0","","0","2","2","0","0","0","0","1","0","-1.2","+1",NA
"58","56","20","2019-02-07","21-350","LAC","@","IND","L (-24)","0","27:30","2","13",".154","1","6",".167","2","2","1.000","0","2","2","3","5","0","0","3","7","5.2","-16",NA
"59","57","21","2019-02-09","21-352","LAC","@","BOS","W (+11)","0","7:39","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","1","4","0","-3.0","+5",NA
"60","58","22","2019-02-11","21-354","LAC","@","MIN","L (-10)","0","5:18","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","1","0","0.3","+2",NA
"61","59","23","2019-02-13","21-356","LAC","","PHO","W (+27)","0","4:19","1","1","1.000","0","0","","0","0","","0","2","2","1","0","0","0","0","2","3.0","+1",NA
"62","60","","2019-02-22","22-000","LAC","@","MEM","W (+6)","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"63","Rk","G","Date","Age","Tm","","Opp","","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-",NA
"64","61","24","2019-02-24","22-002","LAC","@","DEN","L (-27)","0","4:52","1","6",".167","0","1",".000","0","0","","0","2","2","0","0","0","1","0","2","-2.2","-5",NA
